date_sk,anio,mes,production_date,quarter,semester
1,2006,1,2006-01-01,1,1
2,2006,2,2006-02-01,1,1
3,2006,3,2006-03-01,1,1
4,2006,4,2006-04-01,2,1
5,2006,5,2006-05-01,2,1
6,2006,6,2006-06-01,2,1
7,2006,7,2006-07-01,3,2
8,2006,8,2006-08-01,3,2
9,2006,9,2006-09-01,3,2
10,2006,10,2006-10-01,4,2
11,2006,11,2006-11-01,4,2
12,2006,12,2006-12-01,4,2
13,2007,1,2007-01-01,1,1
14,2007,2,2007-02-01,1,1
15,2007,3,2007-03-01,1,1
16,2007,4,2007-04-01,2,1
17,2007,5,2007-05-01,2,1
18,2007,6,2007-06-01,2,1
19,2007,7,2007-07-01,3,2
20,2007,8,2007-08-01,3,2
21,2007,9,2007-09-01,3,2
22,2007,10,2007-10-01,4,2
23,2007,11,2007-11-01,4,2
24,2007,12,2007-12-01,4,2
25,2008,1,2008-01-01,1,1
26,2008,2,2008-02-01,1,1
27,2008,3,2008-03-01,1,1
28,2008,4,2008-04-01,2,1
29,2008,5,2008-05-01,2,1
30,2008,6,2008-06-01,2,1
31,2008,7,2008-07-01,3,2
32,2008,8,2008-08-01,3,2
33,2008,9,2008-09-01,3,2
34,2008,10,2008-10-01,4,2
35,2008,11,2008-11-01,4,2
36,2008,12,2008-12-01,4,2
37,2009,1,2009-01-01,1,1
38,2009,2,2009-02-01,1,1
39,2009,3,2009-03-01,1,1
40,2009,4,2009-04-01,2,1
41,2009,5,2009-05-01,2,1
42,2009,6,2009-06-01,2,1
43,2009,7,2009-07-01,3,2
44,2009,8,2009-08-01,3,2
45,2009,9,2009-09-01,3,2
46,2009,10,2009-10-01,4,2
47,2009,11,2009-11-01,4,2
48,2009,12,2009-12-01,4,2
49,2010,1,2010-01-01,1,1
50,2010,2,2010-02-01,1,1
51,2010,3,2010-03-01,1,1
52,2010,4,2010-04-01,2,1
53,2010,5,2010-05-01,2,1
54,2010,6,2010-06-01,2,1
55,2010,7,2010-07-01,3,2
56,2010,8,2010-08-01,3,2
57,2010,9,2010-09-01,3,2
58,2010,10,2010-10-01,4,2
59,2010,11,2010-11-01,4,2
60,2010,12,2010-12-01,4,2
61,2011,1,2011-01-01,1,1
62,2011,2,2011-02-01,1,1
63,2011,3,2011-03-01,1,1
64,2011,4,2011-04-01,2,1
65,2011,5,2011-05-01,2,1
66,2011,6,2011-06-01,2,1
67,2011,7,2011-07-01,3,2
68,2011,8,2011-08-01,3,2
69,2011,9,2011-09-01,3,2
70,2011,10,2011-10-01,4,2
71,2011,11,2011-11-01,4,2
72,2011,12,2011-12-01,4,2
73,2012,1,2012-01-01,1,1
74,2012,2,2012-02-01,1,1
75,2012,3,2012-03-01,1,1
76,2012,4,2012-04-01,2,1
77,2012,5,2012-05-01,2,1
78,2012,6,2012-06-01,2,1
79,2012,7,2012-07-01,3,2
80,2012,8,2012-08-01,3,2
81,2012,9,2012-09-01,3,2
82,2012,10,2012-10-01,4,2
83,2012,11,2012-11-01,4,2
84,2012,12,2012-12-01,4,2
85,2013,1,2013-01-01,1,1
86,2013,2,2013-02-01,1,1
87,2013,3,2013-03-01,1,1
88,2013,4,2013-04-01,2,1
89,2013,5,2013-05-01,2,1
90,2013,6,2013-06-01,2,1
91,2013,7,2013-07-01,3,2
92,2013,8,2013-08-01,3,2
93,2013,9,2013-09-01,3,2
94,2013,10,2013-10-01,4,2
95,2013,11,2013-11-01,4,2
96,2013,12,2013-12-01,4,2
97,2014,1,2014-01-01,1,1
98,2014,2,2014-02-01,1,1
99,2014,3,2014-03-01,1,1
100,2014,4,2014-04-01,2,1
101,2014,5,2014-05-01,2,1
102,2014,6,2014-06-01,2,1
103,2014,7,2014-07-01,3,2
104,2014,8,2014-08-01,3,2
105,2014,9,2014-09-01,3,2
106,2014,10,2014-10-01,4,2
107,2014,11,2014-11-01,4,2
108,2014,12,2014-12-01,4,2
109,2015,1,2015-01-01,1,1
110,2015,2,2015-02-01,1,1
111,2015,3,2015-03-01,1,1
112,2015,4,2015-04-01,2,1
113,2015,5,2015-05-01,2,1
114,2015,6,2015-06-01,2,1
115,2015,7,2015-07-01,3,2
116,2015,8,2015-08-01,3,2
117,2015,9,2015-09-01,3,2
118,2015,10,2015-10-01,4,2
119,2015,11,2015-11-01,4,2
120,2015,12,2015-12-01,4,2
121,2016,1,2016-01-01,1,1
122,2016,2,2016-02-01,1,1
123,2016,3,2016-03-01,1,1
124,2016,4,2016-04-01,2,1
125,2016,5,2016-05-01,2,1
126,2016,6,2016-06-01,2,1
127,2016,7,2016-07-01,3,2
128,2016,8,2016-08-01,3,2
129,2016,9,2016-09-01,3,2
130,2016,10,2016-10-01,4,2
131,2016,11,2016-11-01,4,2
132,2016,12,2016-12-01,4,2
133,2017,1,2017-01-01,1,1
134,2017,2,2017-02-01,1,1
135,2017,3,2017-03-01,1,1
136,2017,4,2017-04-01,2,1
137,2017,5,2017-05-01,2,1
138,2017,6,2017-06-01,2,1
139,2017,7,2017-07-01,3,2
140,2017,8,2017-08-01,3,2
141,2017,9,2017-09-01,3,2
142,2017,10,2017-10-01,4,2
143,2017,11,2017-11-01,4,2
144,2017,12,2017-12-01,4,2
145,2018,1,2018-01-01,1,1
146,2018,2,2018-02-01,1,1
147,2018,3,2018-03-01,1,1
148,2018,4,2018-04-01,2,1
149,2018,5,2018-05-01,2,1
150,2018,6,2018-06-01,2,1
151,2018,7,2018-07-01,3,2
152,2018,8,2018-08-01,3,2
153,2018,9,2018-09-01,3,2
154,2018,10,2018-10-01,4,2
155,2018,11,2018-11-01,4,2
156,2018,12,2018-12-01,4,2
157,2019,1,2019-01-01,1,1
158,2019,2,2019-02-01,1,1
159,2019,3,2019-03-01,1,1
160,2019,4,2019-04-01,2,1
161,2019,5,2019-05-01,2,1
162,2019,6,2019-06-01,2,1
163,2019,7,2019-07-01,3,2
164,2019,8,2019-08-01,3,2
165,2019,9,2019-09-01,3,2
166,2019,10,2019-10-01,4,2
167,2019,11,2019-11-01,4,2
168,2019,12,2019-12-01,4,2
169,2020,1,2020-01-01,1,1
170,2020,2,2020-02-01,1,1
171,2020,3,2020-03-01,1,1
172,2020,4,2020-04-01,2,1
173,2020,5,2020-05-01,2,1
174,2020,6,2020-06-01,2,1
175,2020,7,2020-07-01,3,2
176,2020,8,2020-08-01,3,2
177,2020,9,2020-09-01,3,2
178,2020,10,2020-10-01,4,2
179,2020,11,2020-11-01,4,2
180,2020,12,2020-12-01,4,2
181,2021,1,2021-01-01,1,1
182,2021,2,2021-02-01,1,1
183,2021,3,2021-03-01,1,1
184,2021,4,2021-04-01,2,1
185,2021,5,2021-05-01,2,1
186,2021,6,2021-06-01,2,1
187,2021,7,2021-07-01,3,2
188,2021,8,2021-08-01,3,2
189,2021,9,2021-09-01,3,2
190,2021,10,2021-10-01,4,2
191,2021,11,2021-11-01,4,2
192,2021,12,2021-12-01,4,2
193,2022,1,2022-01-01,1,1
194,2022,2,2022-02-01,1,1
195,2022,3,2022-03-01,1,1
196,2022,4,2022-04-01,2,1
197,2022,5,2022-05-01,2,1
198,2022,6,2022-06-01,2,1
199,2022,7,2022-07-01,3,2
200,2022,8,2022-08-01,3,2
201,2022,9,2022-09-01,3,2
202,2022,10,2022-10-01,4,2
203,2022,11,2022-11-01,4,2
204,2022,12,2022-12-01,4,2
205,2023,1,2023-01-01,1,1
206,2023,2,2023-02-01,1,1
207,2023,3,2023-03-01,1,1
208,2023,4,2023-04-01,2,1
209,2023,5,2023-05-01,2,1
210,2023,6,2023-06-01,2,1
211,2023,7,2023-07-01,3,2
212,2023,8,2023-08-01,3,2
213,2023,9,2023-09-01,3,2
214,2023,10,2023-10-01,4,2
215,2023,11,2023-11-01,4,2
216,2023,12,2023-12-01,4,2
217,2024,1,2024-01-01,1,1
218,2024,2,2024-02-01,1,1
219,2024,3,2024-03-01,1,1
220,2024,4,2024-04-01,2,1
221,2024,5,2024-05-01,2,1
222,2024,6,2024-06-01,2,1
223,2024,7,2024-07-01,3,2
224,2024,8,2024-08-01,3,2
225,2024,9,2024-09-01,3,2
226,2024,10,2024-10-01,4,2
227,2024,11,2024-11-01,4,2
228,2024,12,2024-12-01,4,2
229,2025,1,2025-01-01,1,1
230,2025,2,2025-02-01,1,1
231,2025,3,2025-03-01,1,1
232,2025,4,2025-04-01,2,1
233,2025,5,2025-05-01,2,1
234,2025,6,2025-06-01,2,1
235,2025,7,2025-07-01,3,2
236,2025,8,2025-08-01,3,2
237,2025,9,2025-09-01,3,2
238,2025,10,2025-10-01,4,2
239,2025,11,2025-11-01,4,2
240,2025,12,2025-12-01,4,2
241,2026,1,2026-01-01,1,1
242,2026,2,2026-02-01,1,1
243,2026,3,2026-03-01,1,1
244,2026,4,2026-04-01,2,1
